ticker,fecha,titulo,finbert_label,finbert_score,finbert_positive,finbert_negative,finbert_neutral,alpha_label,alpha_score
NVDA,20260519T224135,Gibraltar Industries stock hits 52-week low at $35.21 By Investing.com,negative,-0.962363051250577,0.011613322421908379,0.9739763736724854,0.014410260133445263,Neutral,0.103711
NVDA,20260519T205000,"Transcript : PTC Inc. Presents at J.P. Morgan 54th Annual Global Technology, Media and Communications Conference, May-19-2026 02",neutral,-0.0409669391810894,0.017562925815582275,0.05852986499667168,0.9239072203636169,Somewhat-Bullish,0.344735
NVDA,20260519T205000,"Transcript : QUALCOMM Incorporated Presents at J.P. Morgan 54th Annual Global Technology, Media and Communications Conference, May-19-2026 03",neutral,-0.01701374538242817,0.020308224484324455,0.037321969866752625,0.9423698782920837,Neutral,0.104899
NVDA,20260519T202838,Why Eaton (ETN) Is Benefiting From AI’s Grid-to-Chip Power Demands,positive,0.8743229415267706,0.8819364905357361,0.007613549008965492,0.11044993251562119,Somewhat-Bullish,0.214358
NVDA,20260519T202448,"Stock Market Today: SPY, QQQ Retreat as Inflation Pressures Drive Bond Yields Higher",negative,-0.9198357351124287,0.030026208609342575,0.9498619437217712,0.020111866295337677,Somewhat-Bullish,0.307657
NVDA,20260519T200518,Is American Express Stock Still Worth Buying After Earnings?,positive,0.8649591244757175,0.9182298183441162,0.053270693868398666,0.028499547392129898,Bullish,0.724643
NVDA,20260519T194029,Radcom (RDCM) Q1 2026 Earnings Transcript,positive,0.9411551402881742,0.9546403288841248,0.013485188595950603,0.03187441825866699,Somewhat-Bullish,0.296953
NVDA,20260519T194004,QIAGEN to advance AI-driven drug discovery with graph-based AI and curated bioinformatics knowledge with NVIDIA,positive,0.7265397049486637,0.734430193901062,0.0078904889523983,0.2576793134212494,Bullish,0.430672
NVDA,20260519T180831,Roper Technologies declares $0.91 quarterly dividend,positive,0.8234370341524482,0.8344445824623108,0.011007548309862614,0.1545478254556656,Somewhat-Bearish,-0.217068
NVDA,20260519T180252,Guarantor: JPMorgan Chase & Co.,neutral,0.07137651089578867,0.08351942151784897,0.012142910622060299,0.9043376445770264,Somewhat-Bullish,0.339969
NVDA,20260519T173815,"Nvidia shares set for US$350 billion price swing after earnings, options show",positive,0.8537694923579693,0.9120445251464844,0.05827503278851509,0.029680419713258743,Bullish,0.435693
NVDA,20260519T165850,"Entegris and Kulicke and Soffa Shares Plummet, What You Need To Know",negative,-0.9660696377977729,0.008391321636736393,0.9744609594345093,0.017147773876786232,Neutral,0.104585
NVDA,20260519T164133,Rocket Lab USA Inc Stock (RKLB) Moved Down by 7.90% on May 19: A Full Analysis,negative,-0.9688023244962096,0.007045217789709568,0.9758475422859192,0.017107214778661728,Somewhat-Bullish,0.324688
NVDA,20260519T163937,Mizuho Financial Group Inc Stock (MFG) Moved Up by 3.40% on May 19: Key Drivers Unveiled,positive,0.9367406535893679,0.9562145471572876,0.01947389356791973,0.02431163191795349,Somewhat-Bullish,0.319593
NVDA,20260519T163721,TER vs. CSCO: Which AI Infrastructure Stock Is the Better Buy?,positive,0.924452112056315,0.9337582588195801,0.009306146763265133,0.056935522705316544,Somewhat-Bullish,0.327746
NVDA,20260519T160652,"Kinder Morgan (NYSE: KMI) investors back board, auditor and 2026 executive pay",positive,0.746446461416781,0.7563929557800293,0.009946494363248348,0.23366063833236694,Neutral,0.127843
NVDA,20260519T154133,"Rocket Lab Sinks 9%, Planet Labs Tumbles 6%, Intuitive Machines Slides 5%: Space Rally Hits a Wall",negative,-0.942702017724514,0.01794920116662979,0.9606512188911438,0.021399587392807007,Neutral,0.101828
NVDA,20260519T154116,Bernstein stamps several bitcoin miners with “outperform” ratings: “An integral part of the AI value chain”,positive,0.7726125232875347,0.7822235226631165,0.009610999375581741,0.2081654965877533,Somewhat-Bullish,0.27473
NVDA,20260519T153827,Can SMCI Navigate CapEx & Inventory Headwinds Amid Rapid Scale-Up?,negative,-0.960574789904058,0.010303513146936893,0.9708783030509949,0.018818113952875137,Somewhat-Bullish,0.208055
NVDA,20260519T153814,"Micron, SanDisk Stocks Meet The Bond Time Bomb: 30-Year Yields Hit 19-Year Highs",negative,-0.9281333796679974,0.018378783017396927,0.9465121626853943,0.03510904684662819,Neutral,0.11697
NVDA,20260519T153021,A Look At Charles River Laboratories (CRL) Valuation After Recent Share Price Weakness,negative,-0.9577815867960453,0.010710325092077255,0.9684919118881226,0.02079777792096138,Bullish,0.514243
NVDA,20260519T150858,CoreWeave Has Raised $20 Billion in Capital This Year. Should Investors Be Worried?,positive,0.3325110971927643,0.6482751369476318,0.31576403975486755,0.0359608493745327,Somewhat-Bullish,0.247936
NVDA,20260519T150858,CoreWeave Has Raised $20 Billion in Capital This Year. Should Investors Be Worried?,positive,0.7084061354398727,0.8292644619941711,0.1208583265542984,0.04987721145153046,Neutral,0.123014
NVDA,20260519T144527,"Automation Anywhere Collaborates with Cisco, NVIDIA, Okta, and OpenAI, Launching EnterpriseClaw to Run Next-Generation AI Agents Inside Enterprise Systems – Company Announcement - FT.com",neutral,0.3384138774126768,0.34726211428642273,0.008848236873745918,0.6438896656036377,Bullish,0.421897
NVDA,20260519T144526,"Cisco, NVIDIA, Okta, OpenAI team on EnterpriseClaw for secure AI agents",positive,0.5492103099822998,0.5585236549377441,0.009313344955444336,0.4321630299091339,Somewhat-Bullish,0.224386
